Date,Id,League,Account,Action,Stash,Item,X,Y
"2026-06-06T02:23:22.000Z",2779676537,"Runes of Aldur","MrHubert1710#5930","added","Gems","level 1 0% Arakaali's Lust",228,1
"2026-06-06T02:23:21.000Z",2779676458,"Runes of Aldur","MrHubert1710#5930","modified","Aug","48× Greater Storm Rune",9,1
"2026-06-06T02:23:21.000Z",2779676408,"Runes of Aldur","MrHubert1710#5930","modified","Aug","71× Greater Glacial Rune",6,1
"2026-06-06T02:23:21.000Z",2779676368,"Runes of Aldur","MrHubert1710#5930","added","Frag","Djinn Barya",9,1
"2026-06-06T02:23:20.000Z",2779676339,"Runes of Aldur","MrHubert1710#5930","modified","$$$","63× Greater Orb of Transmutation",43,1
"2026-06-06T02:12:46.000Z",2779595479,"Runes of Aldur","MrHubert1710#5930","modified","$$$","81× Regal Orb",4,1
"2026-06-06T02:12:46.000Z",2779595446,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",7,3
"2026-06-06T02:12:46.000Z",2779595414,"Runes of Aldur","MrHubert1710#5930","modified","Aug","24× Greater Robust Rune",33,1
"2026-06-06T02:06:57.000Z",2779552108,"Runes of Aldur","MrHubert1710#5930","added","Quad","Chimeric Pendant Solar Amulet",3,1
"2026-06-06T02:06:53.000Z",2779551588,"Runes of Aldur","MrHubert1710#5930","modified","$$$","488× Scroll of Wisdom",15,1
"2026-06-06T02:06:52.000Z",2779551462,"Runes of Aldur","MrHubert1710#5930","modified","$$$","473× Scroll of Wisdom",15,1
"2026-06-06T02:06:45.000Z",2779550412,"Runes of Aldur","MrHubert1710#5930","modified","$$$","83× Arcanist's Etcher",12,1
"2026-06-06T02:06:44.000Z",2779550306,"Runes of Aldur","MrHubert1710#5930","modified","$$$","141× Armourer's Scrap",13,1
"2026-06-06T02:06:44.000Z",2779550263,"Runes of Aldur","MrHubert1710#5930","modified","$$$","147× Artificer's Orb",16,1
"2026-06-06T02:06:44.000Z",2779550229,"Runes of Aldur","MrHubert1710#5930","modified","$$$","3× Chance Shard",25,1
"2026-06-06T02:06:43.000Z",2779550168,"Runes of Aldur","MrHubert1710#5930","modified","Ess","2× Essence of Delirium",32,1
"2026-06-06T02:06:41.000Z",2779549968,"Runes of Aldur","MrHubert1710#5930","modified","Ess","2× Perfect Essence of Abrasion",50,1
"2026-06-06T02:06:29.000Z",2779548587,"Runes of Aldur","MrHubert1710#5930","removed","$$$","Solar Amulet",26,1
"2026-06-06T02:06:28.000Z",2779548466,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",7,2
"2026-06-06T02:06:28.000Z",2779548435,"Runes of Aldur","MrHubert1710#5930","added","$$$","Solar Amulet",26,1
"2026-06-06T01:46:57.000Z",2779400798,"Runes of Aldur","MrHubert1710#5930","modified","$$$","78× Exalted Orb",7,1
"2026-06-06T01:46:49.000Z",2779399693,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Venomous Waystone (Tier 15) (T15)",7,3
"2026-06-06T01:46:48.000Z",2779399650,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Profane Control Waystone (Tier 15) (T15)",7,2
"2026-06-06T01:46:47.000Z",2779399490,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Frostbitten Waystone (Tier 15) of Drought (T15)",9,8
"2026-06-06T01:46:47.000Z",2779399460,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Tough Waystone (Tier 15) (T15)",9,7
"2026-06-06T01:46:46.000Z",2779399436,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Frostbitten Waystone (Tier 15) Shocking (T15)",9,6
"2026-06-06T01:46:46.000Z",2779399393,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Fleeting Waystone (Tier 15) (T15)",9,5
"2026-06-06T01:46:46.000Z",2779399369,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Desolate Direction Waystone (Tier 15) (T15)",9,4
"2026-06-06T01:46:46.000Z",2779399336,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Waystone (Tier 15) (T15)",9,3
"2026-06-06T01:46:45.000Z",2779399308,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Shattering Waystone (Tier 15) of Exposure (T15)",9,2
"2026-06-06T01:46:45.000Z",2779399289,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Waystone (Tier 15) of Slowing (T15)",9,1
"2026-06-06T01:46:45.000Z",2779399251,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Waystone (Tier 15) of Enfeebling (T15)",10,1
"2026-06-06T01:46:44.000Z",2779399159,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Fleeting Waystone (Tier 15) of Evasion (T15)",10,2
"2026-06-06T01:46:44.000Z",2779399134,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Puncturing Waystone (Tier 15) (T15)",10,3
"2026-06-06T01:46:43.000Z",2779399092,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Destructive Waystone (Tier 15) of Obstruction (T15)",10,4
"2026-06-06T01:46:43.000Z",2779399039,"Runes of Aldur","MrHubert1710#5930","removed","Waystone","Shattering Waystone (Tier 15) of Buffering (T15)",10,5
"2026-06-06T01:46:03.000Z",2779393789,"Runes of Aldur","MrHubert1710#5930","modified","Abbys/Expediton","7× Thaumaturgic Flux (Level 18)",5,1
"2026-06-06T01:46:00.000Z",2779393403,"Runes of Aldur","MrHubert1710#5930","removed","$$$","Thaumaturgic Flux (Level 18)",37,1
"2026-06-06T01:45:58.000Z",2779393137,"Runes of Aldur","MrHubert1710#5930","added","$$$","3× Orb of Chance",10,1
"2026-06-06T01:45:56.000Z",2779392891,"Runes of Aldur","MrHubert1710#5930","removed","$$$","4× Orb of Chance",10,1
"2026-06-06T01:45:55.000Z",2779392733,"Runes of Aldur","MrHubert1710#5930","modified","$$$","140× Armourer's Scrap",13,1
"2026-06-06T01:45:54.000Z",2779392664,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Shattering Waystone (Tier 15) of Buffering (T15)",10,5
"2026-06-06T01:45:54.000Z",2779392642,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Destructive Waystone (Tier 15) of Obstruction (T15)",10,4
"2026-06-06T01:45:54.000Z",2779392585,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Puncturing Waystone (Tier 15) (T15)",10,3
"2026-06-06T01:45:53.000Z",2779392546,"Runes of Aldur","MrHubert1710#5930","modified","$$$","59× Greater Orb of Transmutation",43,1
"2026-06-06T01:45:53.000Z",2779392479,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Fleeting Waystone (Tier 15) of Evasion (T15)",10,2
"2026-06-06T01:45:52.000Z",2779392432,"Runes of Aldur","MrHubert1710#5930","modified","$$$","4× Perfect Orb of Augmentation",46,1
"2026-06-06T01:45:52.000Z",2779392387,"Runes of Aldur","MrHubert1710#5930","modified","$$$","2× Chance Shard",25,1
