Date,Id,League,Account,Action,Stash,Item,X,Y
"2026-06-05T21:16:39.000Z",2777261736,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Terror Resolve Waystone (Tier 15) (T15)",4,2
"2026-06-05T21:16:39.000Z",2777261706,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Penetrating Waystone (Tier 15) (T15)",4,1
"2026-06-05T21:16:12.000Z",2777257402,"Runes of Aldur","Kashaloth#1625","added","Waystone","Waystone (Tier 15) of Drought (T15)",3,8
"2026-06-05T21:16:10.000Z",2777257130,"Runes of Aldur","Kashaloth#1625","modified","$$$","172× Exalted Orb",7,1
"2026-06-05T21:16:05.000Z",2777256331,"Runes of Aldur","MrHubert1710#5930","modified","Aug","30× Greater Iron Rune",12,1
"2026-06-05T21:16:03.000Z",2777256094,"Runes of Aldur","MrHubert1710#5930","modified","Aug","21× Greater Iron Rune",12,1
"2026-06-05T21:16:01.000Z",2777255688,"Runes of Aldur","MrHubert1710#5930","modified","$$$","82× Armourer's Scrap",13,1
"2026-06-05T21:15:56.000Z",2777254945,"Runes of Aldur","MrHubert1710#5930","modified","$$$","80× Armourer's Scrap",13,1
"2026-06-05T21:15:55.000Z",2777254758,"Runes of Aldur","Diablik666#0652","modified","$$$","167× Blacksmith's Whetstone",14,1
"2026-06-05T21:15:54.000Z",2777254673,"Runes of Aldur","Diablik666#0652","modified","$$$","131× Greater Orb of Augmentation",45,1
"2026-06-05T21:15:54.000Z",2777254637,"Runes of Aldur","MrHubert1710#5930","modified","$$$","127× Artificer's Orb",16,1
"2026-06-05T21:15:54.000Z",2777254599,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",8,6
"2026-06-05T21:15:54.000Z",2777254571,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",8,5
"2026-06-05T21:15:54.000Z",2777254519,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",8,4
"2026-06-05T21:15:54.000Z",2777254518,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",7,9
"2026-06-05T21:15:53.000Z",2777254485,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",7,7
"2026-06-05T21:15:53.000Z",2777254442,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",7,6
"2026-06-05T21:15:53.000Z",2777254407,"Runes of Aldur","Diablik666#0652","added","Quad","Lavish Wombgift",7,5
"2026-06-05T21:15:53.000Z",2777254400,"Runes of Aldur","MrHubert1710#5930","modified","$$$","108× Artificer's Orb",16,1
"2026-06-05T21:15:37.000Z",2777252144,"Runes of Aldur","Kashaloth#1625","added","Quad","Twilight Reliquary Key",24,11
"2026-06-05T21:15:35.000Z",2777251738,"Runes of Aldur","Kashaloth#1625","modified","$$$","8× Chance Shard",25,1
"2026-06-05T21:15:34.000Z",2777251675,"Runes of Aldur","Kashaloth#1625","modified","$$$","100× Armourer's Scrap",13,1
"2026-06-05T21:15:34.000Z",2777251642,"Runes of Aldur","Kashaloth#1625","modified","Ess","23× Greater Essence of the Body",13,1
"2026-06-05T21:15:33.000Z",2777251423,"Runes of Aldur","Kashaloth#1625","modified","$$$","166× Blacksmith's Whetstone",14,1
"2026-06-05T21:15:32.000Z",2777251362,"Runes of Aldur","Kashaloth#1625","modified","$$$","130× Greater Orb of Augmentation",45,1
"2026-06-05T21:15:31.000Z",2777251104,"Runes of Aldur","Kashaloth#1625","added","Quad","Mystic Sapphire of Potency",17,24
"2026-06-05T21:15:04.000Z",2777247232,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",7,9
"2026-06-05T21:15:03.000Z",2777247180,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",8,10
"2026-06-05T21:15:03.000Z",2777247123,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",8,9
"2026-06-05T21:15:02.000Z",2777247017,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",7,7
"2026-06-05T21:15:02.000Z",2777246985,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",7,6
"2026-06-05T21:15:02.000Z",2777246926,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",7,5
"2026-06-05T21:15:01.000Z",2777246848,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",8,4
"2026-06-05T21:15:01.000Z",2777246787,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",8,5
"2026-06-05T21:15:00.000Z",2777246737,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",8,6
"2026-06-05T21:15:00.000Z",2777246677,"Runes of Aldur","Diablik666#0652","removed","Quad","Lavish Wombgift",9,7
"2026-06-05T21:14:14.000Z",2777240335,"Runes of Aldur","MrHubert1710#5930","added","Abbys/Expediton","8× Preserved Rib",2,4
"2026-06-05T21:14:12.000Z",2777240035,"Runes of Aldur","MrHubert1710#5930","removed","Abbys/Expediton","9× Preserved Rib",2,4
"2026-06-05T21:14:08.000Z",2777239418,"Runes of Aldur","MrHubert1710#5930","removed","Abbys/Expediton","Omen of Sinistral Necromancy",11,2
"2026-06-05T21:14:05.000Z",2777239039,"Runes of Aldur","Diablik666#0652","modified","$$$","165× Blacksmith's Whetstone",14,1
"2026-06-05T21:14:05.000Z",2777238966,"Runes of Aldur","Diablik666#0652","added","Frag","Breach Tablet",1,4
"2026-06-05T21:13:59.000Z",2777238124,"Runes of Aldur","MrHubert1710#5930","added","Abbys/Expediton","Omen of Dextral Necromancy",11,3
"2026-06-05T21:13:59.000Z",2777238030,"Runes of Aldur","MrHubert1710#5930","removed","Abbys/Expediton","Omen of Dextral Necromancy",7,8
"2026-06-05T21:13:58.000Z",2777237886,"Runes of Aldur","MrHubert1710#5930","added","Abbys/Expediton","4× Omen of the Blackblooded",10,2
"2026-06-05T21:13:57.000Z",2777237737,"Runes of Aldur","MrHubert1710#5930","removed","Abbys/Expediton","4× Omen of the Blackblooded",4,11
"2026-06-05T21:13:56.000Z",2777237548,"Runes of Aldur","MrHubert1710#5930","added","Abbys/Expediton","Omen of the Sovereign",12,2
